longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.31,33.99,49,857,196,694,228,2.895,108000,<1H OCEAN
-119.51,37.32,14,362,78,88,39,3.5893,214300,INLAND
-122.03,37.36,16,2697,803,1369,723,4.4699,367400,<1H OCEAN
-119.28,36.54,33,1470,330,1222,301,1.8163,57400,INLAND
-120.5,37.34,16,1245,231,956,219,3.4559,108000,INLAND
-119.53,36.78,20,2822,479,1372,455,4.5625,136900,INLAND
-122.32,37.53,39,2795,464,1183,443,5.779,387100,NEAR OCEAN
-121.61,39.13,33,2559,539,1583,504,1.4727,53000,INLAND
-118.99,35.39,52,2805,573,1325,522,2.5083,70100,INLAND
-117.98,33.77,7,2252,570,1576,550,3.6333,169800,<1H OCEAN
-117.11,32.67,52,204,74,248,57,1.7961,47500,NEAR OCEAN
-117.83,33.75,34,2660,601,1475,567,3.4152,210200,<1H OCEAN
-119.03,35.34,34,2221,436,1131,408,3.0486,68500,INLAND
-118.45,34.15,10,1091,260,517,266,4.1727,332600,<1H OCEAN
-119.55,36.52,31,1986,417,1042,422,3.0294,70200,INLAND
-120.85,37.49,39,2840,733,2606,737,1.9429,76400,INLAND
-119.5,35.27,23,3827,696,1993,617,3.0742,57900,INLAND
-118.43,33.83,19,6206,1611,2455,1472,5.145,420200,NEAR OCEAN
-122.26,37.55,17,4576,814,1941,807,5.9572,443800,NEAR BAY
-116.9,33.03,11,3213,634,1975,579,3.475,167200,<1H OCEAN
-121.93,37.93,16,2876,391,1089,377,6.299,286900,INLAND
-121.37,38.7,26,2230,410,1155,377,3.4911,88200,INLAND
-118.32,34.01,52,3104,645,1498,581,2.6667,128000,<1H OCEAN
-122.11,37.37,22,1477,195,520,187,10.3329,500001,NEAR BAY
-116.22,33.73,38,1695,352,1279,305,2.1217,68500,INLAND
-118.12,33.8,36,1257,205,530,211,5.3701,251400,<1H OCEAN
-122.3,37.53,40,1833,308,751,306,6,384200,NEAR OCEAN
-122.64,38.23,52,1075,249,519,210,3.0769,230900,<1H OCEAN
-117.08,33.09,23,3792,624,1988,658,4.7566,178300,<1H OCEAN
-119.41,36.68,18,1802,332,945,292,3.4044,115300,INLAND
-121,39.75,8,1116,214,27,39,2.5893,83000,INLAND
-118.18,33.99,36,988,337,1508,351,2.4375,154800,<1H OCEAN
-118.29,33.99,39,979,235,857,236,2.5547,108900,<1H OCEAN
-122.49,37.68,35,2405,461,1583,471,5.0659,238000,NEAR OCEAN
-119.33,36.31,17,2401,409,1100,409,4.0577,107300,INLAND
-118.38,33.97,42,1859,337,813,326,6.019,294500,<1H OCEAN
-122.38,40.69,21,1774,370,875,354,1.7422,61500,INLAND
-117.8,33.68,8,2032,349,862,340,6.9133,274100,<1H OCEAN
-116.95,33.86,1,6,2,8,2,1.625,55000,INLAND
-116.99,32.72,15,825,130,334,131,4.0391,169500,<1H OCEAN
-122,36.97,30,1029,242,753,249,3.1205,240500,NEAR OCEAN
-122.38,37.73,20,120,27,55,19,2.625,187500,NEAR BAY
-116.91,32.78,15,4058,511,1580,473,7.5,316400,<1H OCEAN
-122.26,37.45,17,2742,441,986,421,5.9285,496000,NEAR OCEAN
-123.53,38.93,38,1706,355,506,211,2.5625,165600,NEAR OCEAN
-121.96,37.85,10,3209,379,1199,392,12.2478,500001,INLAND
-118.29,34.04,44,1941,579,2049,535,2.0405,143000,<1H OCEAN
-118.35,34.22,30,1260,222,638,229,4.1302,258300,<1H OCEAN
-121.57,39.76,20,1384,257,557,232,2.0882,104900,INLAND
-118.36,33.89,34,760,174,723,198,5.3169,227600,<1H OCEAN
-122.94,39.1,18,681,120,272,105,2.8906,140600,INLAND
-122.05,37.37,27,3885,661,1537,606,6.6085,344700,<1H OCEAN
-121.99,37.92,14,1780,224,764,226,9.0243,427700,INLAND
-122.08,37.71,38,3716,657,1784,652,4.8237,220900,NEAR BAY
-122.53,37.92,45,1530,324,608,328,3.875,390800,NEAR BAY
-121.97,37.52,23,4925,948,2530,894,5.0824,230900,<1H OCEAN
-122.01,36.95,52,1217,325,508,237,2.0547,326700,NEAR OCEAN
-122,37.4,35,1542,298,1164,318,5.9145,236900,<1H OCEAN
-118.87,35.65,33,1504,325,584,223,3.4792,94600,INLAND
-123.22,40.54,27,1573,361,847,330,1.9034,49600,INLAND
